student,balance,income,default
1,729.5264952,44361.62507,0
1,0,12106.1347,0
0,1073.549164,1.00E+03,0
0,529.2506047,35704.49394,0
0,785.6558829,38463.49588,0
1,919.5885305,7491.558572,0
0,825.5133305,24905.22658,0
1,808.6675043,17600.45134,0
0,1161.057854,37468.52929,0
0,0,29275.26829,0
1,0,21871.07309,0
1,1220.583753,13268.56222,0
0,237.045114,28251.69534,0
0,606.7423433,44994.55585,0
0,1112.968401,23810.17405,0
0,286.2325601,45042.41304,0
0,0,50265.31235,0
1,527.5401841,17636.53962,0
0,485.9368642,61566.10612,0
0,1095.072735,26464.63139,0
0,228.9525496,50500.1822,0
0,954.2617928,32457.50908,0
0,1055.956605,51317.88308,0
0,641.9843888,30466.10326,0
0,773.2117245,34353.31431,0
0,855.0085225,25211.33216,0
0,642.9997385,41473.5118,0
0,1454.863272,32189.09495,0
0,615.7042766,39376.39462,0
1,1119.569353,16556.07021,0
0,494.8162288,54384.78284,0
1,448.8806563,15799.47041,0
1,584.9048947,22429.93505,0
0,913.5871726,46907.2254,0
1,1423.938917,22634.48809,0
1,1499.724657,13190.65272,0
0,692.0341671,47806.61177,0
0,351.4534715,35087.48865,0
0,742.6276208,37864.82394,0
0,653.1184001,39489.5947,0
0,872.1386795,41787.56727,0
0,837.2626228,51471.77209,0
0,1151.630566,42917.46956,0
1,220.5556084,16872.94756,0
1,1690.23441,19052.57222,0
0,408.7729143,54206.93921,0
0,1238.610321,50066.68053,0
0,1228.30835,37408.50387,0
0,820.9192041,47746.54207,0
0,857.4851178,31688.34597,0
0,563.6181772,42641.25327,0
1,1282.972534,13120.63647,0
1,1505.782675,26557.14145,0
1,904.0402591,16882.30061,0
0,0,49956.58057,0
1,1294.497347,10464.32073,0
1,1275.550633,15887.46849,0
0,1536.594601,48766.90746,0
0,1332.522644,39143.13707,0
0,492.0797678,33379.0946,0
0,766.2343793,46478.29426,0
0,690.1272462,63432.98425,0
0,0,32481.54005,0
0,1480.655309,36866.15707,0
0,989.055597,45344.25132,0
0,1302.341835,33695.42623,0
0,1044.552343,54696.76598,0
0,0,43658.22772,0
0,866.0284364,38363.42163,0
0,690.8007924,48140.47134,0
0,597.757142,31577.61513,0
0,429.4854023,51311.2181,0
0,1398.156201,39644.94219,0
1,1578.064099,19886.49395,0
0,857.0690531,26655.68897,0
1,752.459946,16211.27579,0
1,774.738427,15193.73314,0
0,728.3732513,45131.71826,0
0,76.99129053,28392.09341,0
0,196.4569131,41346.78591,0
1,948.7479184,14297.61905,0
0,431.9208853,39369.88156,0
0,461.6381822,46221.21149,0
0,572.0157602,33046.31296,0
0,335.5681447,51258.44423,0
0,510.2375932,60397.71865,0
1,1005.161306,24038.65204,0
1,162.4544511,13241.75206,0
0,932.5331557,50537.46565,0
1,893.3304676,11905.68179,0
0,1332.782564,44495.16276,0
0,1404.383069,35043.10603,0
1,1148.965139,16578.19212,0
0,368.2234257,57596.82584,0
0,449.4666288,45950.66672,0
0,820.0171126,51584.65732,0
1,619.7518686,15750.62208,0
0,1047.718124,46416.97099,0
0,243.8413283,47193.88813,0
0,186.5003869,45430.55027,0
0,1422.018488,38224.03152,0
0,383.798659,61425.28639,0
0,1159.435096,45802.10494,0
0,882.9919126,17181.73797,0
0,1463.232892,65457.85419,0
1,1722.355846,19311.42294,0
1,773.9218613,14558.91214,0
0,958.1694185,32816.2848,0
0,1207.53273,68037.57513,0
0,1056.61083,30546.60103,0
0,117.6424839,46550.26727,0
0,596.9641192,58088.36045,0
0,0,47729.62576,0
1,541.6627553,16335.70344,0
0,1119.178303,45020.01912,0
1,810.3209365,20498.66581,0
0,271.5514377,32850.12014,0
0,1114.403237,47714.02211,0
0,867.0308281,33540.97998,0
1,1176.789402,17632.7121,0
0,610.2278187,42465.36296,0
0,272.6156617,55449.33864,0
0,449.7350858,49643.42644,0
1,827.7672094,10673.52623,0
0,430.0000994,33925.2196,0
0,0,31825.76497,0
1,1557.344637,18404.59419,0
0,928.2369663,33722.15894,0
0,1373.450163,49101.79821,0
1,951.0729075,18601.53324,0
1,1292.210869,23065.85098,0
0,582.1887007,24760.79573,0
1,339.4246383,19307.98029,0
0,409.9823246,44641.09012,0
0,1216.45151,53639.84683,0
0,598.4613921,44124.26811,0
1,1486.998122,17854.39703,1
0,943.7963387,59976.83987,0
0,0,49525.74502,0
1,996.2760868,20883.24077,0
1,748.3013404,11248.67075,0
0,324.7379218,15411.51857,0
1,575.3821585,16005.68132,0
0,441.7382849,36012.2359,0
0,1188.64218,39526.56127,0
0,95.14768019,51371.19991,0
0,1015.614837,43218.79438,0
0,1258.567393,44931.67492,0
1,1178.244414,7750.289221,0
